"writerNameLabel","birthPlaceLabel","nationalityLabel","deathPlaceLabel"
"Henry Fox Bourne","Blue Mountains (Jamaica)","United Kingdom","England"
"Hazel Adair (novelist)","United Kingdom","United Kingdom","England"
"Hazel Adair (novelist)","England","United Kingdom","England"
"Henry Fox Bourne","Jamaica","United Kingdom","England"
"Hazel Adair (novelist)","Norwich, Norfolk","United Kingdom","England"
"Charlie Cairoli","Affori","Italians in the United Kingdom","England"
"Charlie Cairoli","Italy","Italians in the United Kingdom","England"
"Charlie Cairoli","Milan","Italians in the United Kingdom","England"
"Diana Morgan (screenwriter)","Cardiff","United Kingdom","England"
"Diana Morgan (screenwriter)","United Kingdom","United Kingdom","England"
"John Moore (British writer)","England","United Kingdom","England"
"John Moore (British writer)","Gloucestershire","United Kingdom","England"
"Diana Morgan (screenwriter)","Wales","United Kingdom","England"
"John Moore (British writer)","Tewkesbury","United Kingdom","England"
"Diana Morgan (screenwriter)","Cathedral Road, Cardiff","United Kingdom","England"
"Sylvia Thompson","Scotland","England","England"
"Miguel Hernández","Restoration (Spain)","Spain","Francoist Spain"
"Ibn-e-Insha","British India","Pakistani","England"
"Frederica Maclean Rowan","West Indies","United Kingdom of Great Britain and Ireland","England"
"Ibn-e-Insha","Phillaur","Pakistani","England"
"Miguel Hernández","Orihuela","Spain","Francoist Spain"
"Ibn-e-Insha","Punjab (British India)","Pakistani","England"
"Bjørnstjerne Bjørnson","Union between Sweden and Norway","Norwegians","French Third Republic"
"Bjørnstjerne Bjørnson","Kvikne","Norwegians","French Third Republic"
"Agripina Samper Agudelo","Honda, Tolima","Colombian people","French Third Republic"
"Agripina Samper Agudelo","Republic of New Granada","Colombian people","French Third Republic"
"Agripina Samper Agudelo","Cundinamarca Department","Colombian people","French Third Republic"
"Antonieta Rivas Mercado","Mexico City, Mexico","Mexico","French Third Republic"
"Sully Prudhomme","July Monarchy","France","French Third Republic"
"Jean d'Ormesson","French Third Republic","French people","French Fifth Republic"
"Jean d'Ormesson","Paris","French people","French Fifth Republic"
"Sully Prudhomme","Paris","France","French Third Republic"
"Paula Modersohn-Becker","German Empire","Germans","German Empire"
"Elisa von der Recke","Skaistkalne","Baltic German","German Confederation"
"Paula Modersohn-Becker","Friedrichstadt (Dresden)","Germans","German Empire"
"Elisa von der Recke","Duchy of Courland and Semigallia","Baltic German","German Confederation"
"Goderdzi Chokheli","Georgian Soviet Socialist Republic","Georgians","Georgia (country)"
"Goderdzi Chokheli","Dusheti Municipality","Georgians","Georgia (country)"
"Goderdzi Chokheli","Soviet Union","Georgians","Georgia (country)"
"Zikmund Winter","Prague","Czechs","German Empire"
"Lily Braun","Province of Saxony","Germans","German Empire"
"Zikmund Winter","Austrian Empire","Czechs","German Empire"
"Lily Braun","Halberstadt","Germans","German Empire"
"Zuzanna Ginczanka","Kiev","Poland","General Government"
"Zuzanna Ginczanka","Kiev Governorate","Poland","General Government"
"Zuzanna Ginczanka","Russian Provisional Government","Poland","General Government"
"Lily Braun","Kingdom of Prussia","Germans","German Empire"
"Galaktion Tabidze","Russian Empire","Georgians","Georgian SSR"
"Galaktion Tabidze","Chkvishi","Georgians","Georgian SSR"
"Galaktion Tabidze","Kutais Governorate","Georgians","Georgian SSR"
"Oscar Pletsch","Berlin","Germans","German Empire"
"Paolo Iashvili","Russian Empire","Georgians","Georgian SSR"
"Oscar Pletsch","German Confederation","Germans","German Empire"
"Paolo Iashvili","Imereti","Georgians","Georgian SSR"
"Paolo Iashvili","Kutais Governorate","Georgians","Georgian SSR"
"Ion Luca Caragiale","Romania","Romanians","German Empire"
"Chabua Amirejibi","Georgian SSR","Georgians","Georgia (country)"
"Terenti Graneli","Georgian Soviet Socialist Republic","Georgians","Georgian Soviet Socialist Republic"
"Terenti Graneli","Tsalenjikha","Georgians","Georgian Soviet Socialist Republic"
"Ion Luca Caragiale","Wallachia","Romanians","German Empire"
"Chabua Amirejibi","Tbilisi","Georgians","Georgia (country)"
"Chabua Amirejibi","Soviet Union","Georgians","Georgia (country)"
"Terenti Graneli","Soviet Union","Georgians","Georgian Soviet Socialist Republic"
"Ion Luca Caragiale","I.L. Caragiale, Dâmbovița","Romanians","German Empire"
"Gustav von Meyern-Hohenberg","Calvörde","German people","German Empire"
"Mikheil Javakhishvili","Russian Empire","Georgians","Georgian SSR"
"Konstantine Gamsakhurdia","Russian Empire","Georgians","Georgian SSR"
"Mikheil Javakhishvili","Tiflis Governorate","Georgians","Georgian SSR"
"Konstantine Gamsakhurdia","Abasha","Georgians","Georgian SSR"
"Gustav von Meyern-Hohenberg","Duchy of Brunswick","German people","German Empire"
"Konstantine Gamsakhurdia","Kutais Governorate","Georgians","Georgian SSR"
"Ulrich Kiesow","West Germany","Germany","Germany"
"Fritz Koenig","Weimar Republic","Germans","Germany"
"Fritz Koenig","Würzburg","Germans","Germany"
"Friedrich Kapp","German Confederation","German people","Germany"
"Friedrich Kapp","Hamm","German people","Germany"
"Micha Josef Berdyczewski","Medzhybizh","Russian Empire","Germany"
"Micha Josef Berdyczewski","Russian Empire","Russian Empire","Germany"
"Luděk Frýbort","Czechoslovakia","Czechs","Germany"
"Luděk Frýbort","Jičín","Czechs","Germany"
"Albrecht Wellmer","Bergkirchen","Germany","Germany"
"Albrecht Wellmer","Nazi Germany","Germany","Germany"
"Heinz Zöger","German Empire","Germany","Germany"
"Heinz Zöger","Leipzig","Germany","Germany"
"Eva Strittmatter","Province of Brandenburg","Germany","Germany"
"Eva Strittmatter","Weimar Republic","Germany","Germany"
"Eva Strittmatter","Neuruppin","Germany","Germany"
"George Henry Caunter","Devon","British people","Gloucestershire"
"George Henry Caunter","Dittisham","British people","Gloucestershire"
"George Henry Caunter","Kingdom of Great Britain","British people","Gloucestershire"
"Günter Herburger","Weimar Republic","Germany","Germany"
"Günter Herburger","Isny im Allgäu","Germany","Germany"
"Günter Herburger","Free People's State of Württemberg","Germany","Germany"
"Martin Camaj","Albanian Republic","Albanians","Germany"
"Martin Camaj","Temal","Albanians","Germany"
"Razumnik Ivanov-Razumnik","Georgia (country)","Russians","Germany"
"Razumnik Ivanov-Razumnik","Tiflis","Russians","Germany"
"Garlieb Merkel","Lēdurga Parish","Baltic German","Governorate of Livonia"
"Robert Wilhelm Ekman","Uusikaupunki","Finns","Grand Duchy of Finland"
"Garlieb Merkel","Russian Empire","Baltic German","Governorate of Livonia"
"Juhan Liiv","Russian Empire","Estonians","Governorate of Livonia"
"Juhan Liiv","Governorate of Livonia","Estonians","Governorate of Livonia"
"Garlieb Merkel","Governorate of Livonia","Baltic German","Governorate of Livonia"
"Garlieb Merkel","Sigulda Municipality","Baltic German","Governorate of Livonia"
"Juhan Liiv","Kreis Dorpat","Estonians","Governorate of Livonia"
"Juhan Liiv","Alatskivi","Estonians","Governorate of Livonia"
"Robert Wilhelm Ekman","Sweden","Finns","Grand Duchy of Finland"
"Garlieb Merkel","Kreis Riga","Baltic German","Governorate of Livonia"
"Gustav von Meyern-Hohenberg","Calvörde","German people","Grand Duchy of Baden"
"Gustav von Meyern-Hohenberg","Duchy of Brunswick","German people","Grand Duchy of Baden"
"Ali Dino","Preveza","Ottoman Empire","Greece"
"Ali Dino","Preveza","Greeks","Greece"
"Christoforos Liontakis","Greece","Greece","Greece"
"Ali Dino","Greece","Ottoman Empire","Greece"
"Ali Dino","Greece","Greeks","Greece"
"Emmanuel Rhoides","Greece","Greece","Greece"
"Pavlos Matesis","Greece","Greeks","Greece"
"Ali Dino","Ottoman Empire","Ottoman Empire","Greece"
"Ali Dino","Ottoman Empire","Greeks","Greece"
"Christoforos Liontakis","Heraklion","Greece","Greece"
"Ali Dino","Chios","Ottoman Empire","Greece"
"Ali Dino","Chios","Greeks","Greece"
"Pavlos Matesis","Lampeia","Greeks","Greece"
"Emmanuel Rhoides","Ermoupolis","Greece","Greece"
"Adriano Politi","San Quirico d'Orcia","Italy","Grand Duchy of Tuscany"
"Adriano Politi","Republic of Siena","Italy","Grand Duchy of Tuscany"
"Kostas Ouranis","Constantinople","Greece","Greece"
"Kostas Ouranis","Ottoman Empire","Greece","Greece"
"Vassilis Steriadis","Volos","Greece","Greece"
"Kostas Varnalis","Burgas","Greece","Greece"
"Kostas Varnalis","Eastern Rumelia","Greece","Greece"
"Odysseas Elytis","Heraklion","Greece","Greece"
"Vassilis Steriadis","Kingdom of Greece","Greece","Greece"
"Odysseas Elytis","Republic of Crete","Greece","Greece"
"Juan Goytisolo","Barcelona","Spanish people","Morocco"
"Dagon Khin Khin Lay","Mandalay","Myanmar","Myanmar"
"Dagon Khin Khin Lay","British Burma","Myanmar","Myanmar"
"Ikbal Ali Shah","Sardhana","Afghans in India","Morocco"
"Ikbal Ali Shah","India","Afghans in India","Morocco"
"José Leite de Vasconcelos","Tarouca","Portuguese people","Lisbon, Portugal"
"José Leite de Vasconcelos","Portugal","Portuguese people","Lisbon, Portugal"
"Carmen de Icaza, 8th Baroness of Claret","Madrid","Spain","Madrid, Spain"
"Aleksander Fredro","Surochów","Poland","Lwów"
"Carmen de Icaza, 8th Baroness of Claret","Kingdom of Spain","Spain","Madrid, Spain"
"Maria Konopnicka","Congress Poland","Poles","Lwów"
"Maria Konopnicka","Russian Empire","Poles","Lwów"
"Maria Konopnicka","Augustów Governorate","Poles","Lwów"
"Maria Konopnicka","Suwałki","Poles","Lwów"
"Josef Kajetán Tyl","Bohemia","Czechs","Bohemia"
"Josef Kajetán Tyl","Austrian Empire","Czechs","Bohemia"
"Josef Kajetán Tyl","Kutná Hora","Czechs","Bohemia"
"Karel Havlíček Borovský","Bohemia","Czechs","Bohemia"
"Karel Havlíček Borovský","Austrian Empire","Czechs","Bohemia"
"Karel Havlíček Borovský","Havlíčkova Borová","Czechs","Bohemia"
"Matija Barl","Ljubljana","Slovenes","Slovenia"
"Eliáš Galajda","Slovakia","Ukrainians","Slovakia"
"Eliáš Galajda","Čertižné","Ukrainians","Slovakia"
"Matija Barl","Kingdom of Yugoslavia","Slovenes","Slovenia"
"Margita Figuli","Árva County","Slovak people","Slovakia"
"Margita Figuli","Austria-Hungary","Slovak people","Slovakia"
"Margita Figuli","Vyšný Kubín","Slovak people","Slovakia"
"Hazel Adair (novelist)","United Kingdom","United Kingdom","Suffolk"
"Hazel Adair (novelist)","England","United Kingdom","Suffolk"
"Hazel Adair (novelist)","Norwich, Norfolk","United Kingdom","Suffolk"
"Ferenc Kazinczy","Romania","Hungarian people","Zemplén County"
"Ferenc Kazinczy","Bihar County","Hungarian people","Zemplén County"
"Ferenc Kazinczy","Hungary","Hungarian people","Zemplén County"
"Ferenc Kazinczy","Șimian, Bihor","Hungarian people","Zemplén County"
"Ferenc Kazinczy","Érsemjén","Hungarian people","Zemplén County"
"Cahit Sıtkı Tarancı","Turkey","Turkish people","Austria"
"Cahit Sıtkı Tarancı","Diyarbakır","Turkish people","Austria"
"Anton Strashimirov","Varna, Bulgaria","Bulgarians","Austria"
"Anton Strashimirov","Ottoman Empire","Bulgarians","Austria"
"Julius Zeyer","Prague","Czechs","Austria-Hungary"
"Josef Kajetán Tyl","Bohemia","Czechs","Austrian Empire"
"Antun Gustav Matoš","Austria-Hungary","Croats","Austria-Hungary"
"Julius Zeyer","Austrian Empire","Czechs","Austria-Hungary"
"Josef Kajetán Tyl","Austrian Empire","Czechs","Austrian Empire"
"Antun Gustav Matoš","Tovarnik","Croats","Austria-Hungary"
"Antun Gustav Matoš","Kingdom of Croatia-Slavonia","Croats","Austria-Hungary"
"Josef Kajetán Tyl","Kutná Hora","Czechs","Austrian Empire"
"František Čelakovský","Strakonice","Czechs","Austrian Empire"
"František Čelakovský","Austrian Empire","Czechs","Austrian Empire"
"Viktor Külföldi","Thalheim, Saxony","Hungarian people","Austria-Hungary"
"Viktor Külföldi","Kingdom of Saxony","Hungarian people","Austria-Hungary"
"Đorđe Marković Koder","Vizić","Serbs","Austria-Hungary"
"Adam Asnyk","Congress Poland","Poland","Austria-Hungary"
"Andrija Torkvat Brlić","Brod na Savi","Austrian Empire","Austria-Hungary"
"Andrija Torkvat Brlić","Slavonian Military Frontier","Austrian Empire","Austria-Hungary"
"Mór Jókai","Slovakia","Hungarian people","Austria-Hungary"
"Mór Jókai","Austrian Empire","Hungarian people","Austria-Hungary"
"Đorđe Marković Koder","Austrian Empire","Serbs","Austria-Hungary"
"Andrija Torkvat Brlić","Austrian Empire","Austrian Empire","Austria-Hungary"
"Adalbert Stifter","Czech Republic","Austrians","Austria-Hungary"
"Adam Asnyk","Kalisz","Poland","Austria-Hungary"
"Adalbert Stifter","Kingdom of Bohemia","Austrians","Austria-Hungary"
"József Borovnyák","Kingdom of Hungary","Hungarian Slovenes","Austria-Hungary"
"Mór Jókai","Kingdom of Hungary (1526–1867)","Hungarian people","Austria-Hungary"
"Đorđe Marković Koder","Kingdom of Slavonia","Serbs","Austria-Hungary"
"Mór Jókai","Komárom","Hungarian people","Austria-Hungary"
"József Borovnyák","Ivanovci, Slovenia","Hungarian Slovenes","Austria-Hungary"
"Adalbert Stifter","Oberplan","Austrians","Austria-Hungary"
"Jan Neruda","Prague","Czechs","Austria-Hungary"
"Janez Trdina","Mengeš","Slovenes","Austria-Hungary"
"Jaroslav Vrchlický","Louny","Czechs","Austria-Hungary"
"Janez Trdina","Slovenia","Slovenes","Austria-Hungary"
"Janez Trdina","Austrian Empire","Slovenes","Austria-Hungary"
"Jaroslav Vrchlický","Austrian Empire","Czechs","Austria-Hungary"
"Jan Neruda","Austrian Empire","Czechs","Austria-Hungary"
"Karolina Světlá","Prague","Czechs","Austria-Hungary"
"Maria Konopnicka","Congress Poland","Poles","Austria-Hungary"
"Maria Konopnicka","Russian Empire","Poles","Austria-Hungary"
"Karel Havlíček Borovský","Bohemia","Czechs","Austrian Empire"
"Maria Konopnicka","Augustów Governorate","Poles","Austria-Hungary"
"Karolina Světlá","Austrian Empire","Czechs","Austria-Hungary"
"Karel Havlíček Borovský","Austrian Empire","Czechs","Austrian Empire"
"Karel Havlíček Borovský","Havlíčkova Borová","Czechs","Austrian Empire"
"Maria Konopnicka","Suwałki","Poles","Austria-Hungary"
"Karel Jaromír Erben","Miletín","Czechs","Austria-Hungary"
"Davud Nasib","Qazax","Azerbaijanis","Azerbaijan"
"Mir Mohsun Navvab","Shusha","Azerbaijani people","Azerbaijan"
"Mir Mohsun Navvab","Azerbaijan","Azerbaijani people","Azerbaijan"
"Yusif Samadoghlu","Baku","Azerbaijanis","Azerbaijan"
"Vagif Samadoghlu","Baku","Azerbaijanis","Azerbaijan"
"Nabi Khazri","Baku Uyezd","Azerbaijanis","Azerbaijan"
"Nabi Khazri","USSR","Azerbaijanis","Azerbaijan"
"Vagif Samadoghlu","USSR","Azerbaijanis","Azerbaijan"
"Yusif Samadoghlu","USSR","Azerbaijanis","Azerbaijan"
"Davud Nasib","USSR","Azerbaijanis","Azerbaijan"
"Bakhtiyar Vahabzadeh","USSR","Azerbaijanis","Azerbaijan"
"Bakhtiyar Vahabzadeh","Nukha Uyezd","Azerbaijanis","Azerbaijan"
"Bakhtiyar Vahabzadeh","Shaki, Azerbaijan","Azerbaijanis","Azerbaijan"
"Bakhtiyar Vahabzadeh","Transcaucasian SFSR","Azerbaijanis","Azerbaijan"
"Nabi Khazri","Transcaucasian SFSR","Azerbaijanis","Azerbaijan"
"Nabi Khazri","Azerbaijan SSR","Azerbaijanis","Azerbaijan"
"Yusif Samadoghlu","Azerbaijan SSR","Azerbaijanis","Azerbaijan"
"Davud Nasib","Azerbaijan SSR","Azerbaijanis","Azerbaijan"
"Bakhtiyar Vahabzadeh","Azerbaijan SSR","Azerbaijanis","Azerbaijan"
"Vagif Samadoghlu","Azerbaijan SSR","Azerbaijanis","Azerbaijan"
"Nabi Khazri","Khyrdalan","Azerbaijanis","Azerbaijan"
"Premchand","Benares State","Indian people","British Raj"
"Premchand","British Raj","Indian people","British Raj"
"Premchand","Lamhi","Indian people","British Raj"
"Frederick Niven","Chile","Scottish Canadians","British Columbia"
"Frederick Niven","Valparaiso","Scottish Canadians","British Columbia"
"Ethel Wilson","Cape Colony","Canadians","British Columbia"
"Irene Baird","Carlisle","Canadians","British Columbia"
"Irene Baird","Carlisle","English people","British Columbia"
"Hotchand Molchand Gurbakhshani","Hyderabad, Sindh","British India","British India"
"Irene Baird","England","Canadians","British Columbia"
"Irene Baird","England","English people","British Columbia"
"Charles Marega","Gorizia","Italians","British Columbia"
"Charles Marega","Gorizia","Canadians","British Columbia"
"Hotchand Molchand Gurbakhshani","Sindh","British India","British India"
"E. Pauline Johnson","Six Nations of the Grand River","Canadians","British Columbia"
"Charles Marega","Austria-Hungary","Italians","British Columbia"
"Charles Marega","Austria-Hungary","Canadians","British Columbia"
"Hotchand Molchand Gurbakhshani","British India","British India","British India"
"Irene Baird","Cumberland","Canadians","British Columbia"
"Irene Baird","Cumberland","English people","British Columbia"
"Charles Marega","Lucinico","Italians","British Columbia"
"Charles Marega","Lucinico","Canadians","British Columbia"
"Alexander Maitland Stephen","Hanover, Ontario","England","British Columbia"
"Ethel Wilson","Port Elizabeth","Canadians","British Columbia"
"E. Pauline Johnson","Ontario","Canadians","British Columbia"
"Rabindranath Tagore","Bengal Presidency","British Raj","British India"
"Rabindranath Tagore","British Raj","British Raj","British India"
"Rabindranath Tagore","West Bengal","British Raj","British India"
"Rabindranath Tagore","India","British Raj","British India"
"Rabindranath Tagore","Kolkata","British Raj","British India"
"Nikola Furnadzhiev","Pazardzhik","Bulgarians","Bulgaria"
"Akbar Allahabadi","Company rule in India","British Raj","British Raj"
"Todor Yonchev","Lom, Bulgaria","Bulgarians","Bulgaria"
"Akbar Allahabadi","Bara, Allahabad","British Raj","British Raj"
"Nikola Furnadzhiev","Bulgaria","Bulgarians","Bulgaria"
"Todor Yonchev","Ottoman Empire","Bulgarians","Bulgaria"
"Todor Vlaykov","Ottoman Empire","Bulgarians","Bulgaria"
"Akbar Allahabadi","North-Western Provinces","British Raj","British Raj"
"Todor Vlaykov","Pirdop","Bulgarians","Bulgaria"
"Ivan Andreychin","Gabrovo","Bulgarians","Bulgaria"
"Kiril Hristov (writer)","Stara Zagora","Bulgarians","Bulgaria"
"Mile Markovski","Bulgaria","Bulgarians","Bulgaria"
"Kiril Hristov (writer)","Ottoman Empire","Bulgarians","Bulgaria"
"Ivan Andreychin","Ottoman Empire","Bulgarians","Bulgaria"
"Mile Markovski","Sofia","Bulgarians","Bulgaria"
"Yakub Kolas","Belarus","Belarusians","Byelorussian SSR"
"Dick Francis","Pembrokeshire","British nationality law","Cayman Islands"
"Dick Francis","Lawrenny","British nationality law","Cayman Islands"
"Yakub Kolas","Stoŭbtsy","Belarusians","Byelorussian SSR"
"Rıza Nur","Sinop, Turkey","Turkish people","Turkey"
"Rıza Nur","Ottoman Empire","Turkish people","Turkey"
"Beki Luiza Bahar","Istanbul","Turkish people","Turkey"
"Beki Luiza Bahar","Turley","Turkish people","Turkey"
"Ahmet Ağaoğlu","Russian Empire","Azerbaijanis","Turkey"
"Ahmet Ağaoğlu","Shusha","Azerbaijanis","Turkey"
"İlhan Berk","Ottoman Empire","Turkey","Turkey"
"İlhan Berk","Manisa","Turkey","Turkey"
"Ahmet Ağaoğlu","Elisabethpol Governorate","Azerbaijanis","Turkey"
"Özker Yaşın","Cyprus","Turkish Cypriot","Turkey"
"Özker Yaşın","Nicosia","Turkish Cypriot","Turkey"
"Levko Revutsky","Pryluky Raion","Ukrainians","USSR"
"Levko Revutsky","Priluksky Uyezd","Ukrainians","USSR"
"Levko Revutsky","Russian Empire","Ukrainians","USSR"
"Mykhailo Stelmakh","Russian Empire","Ukrainians","USSR"
"Vsevolod Kochetov","Russian Empire","Soviet Union","USSR"
"Mykola Kulish","Russian Empire","Ukraine","USSR"
"Aaly Tokombaev","Russian Empire","Kyrgyz people","USSR"
"Mykhailo Yalovy","Russian Empire","Ukraine","USSR"
"Suleyman Rahimov","Russian Empire","Azerbaijanis","USSR"
"Gerasim Pileš","Russian Empire","Chuvashia","USSR"
"Suleyman Rahimov","Zangezursky Uyezd","Azerbaijanis","USSR"
"Suleyman Rahimov","Əyin","Azerbaijanis","USSR"
"Mykola Kulish","Dneprovsky Uyezd","Ukraine","USSR"
"Mykola Kulish","Taurida Governorate","Ukraine","USSR"
"Mykola Kulish","Chaplynka","Ukraine","USSR"
"Aaly Tokombaev","Kayyngdy, Kemin","Kyrgyz people","USSR"
"Vsevolod Kochetov","Novgorod","Soviet Union","USSR"
"Mykhailo Yalovy","Poltava Governorate","Ukraine","USSR"
"Levko Revutsky","Poltava Governorate","Ukrainians","USSR"
"Aaly Tokombaev","Semirechye Oblast","Kyrgyz people","USSR"
"Suleyman Rahimov","Elisabethpol Governorate","Azerbaijanis","USSR"
"Mykhailo Stelmakh","Vinnytsia region","Ukrainians","USSR"
"Gerasim Pileš","Man Toktash","Chuvashia","USSR"
"Nikolai Yut","Russian Empire","Chuvashia","USSR"
"Nikifor Mran'ka","Russian Empire","Chuvashia","USSR"
"Nikolai Ostrovsky","Volhynian Governorate","Ukrainians","USSR"
"Alfred Farag","Egypt","Egypt","UK"
"Nikolai Ostrovsky","Ostrozhsky Uyezd","Ukrainians","USSR"
"Alfred Farag","Zagazig","Egypt","UK"
"Alexander Artemiev","USSR","Chuvashia","USSR"
"Nikolai Yut","Siner, Chuvash Republic","Chuvashia","USSR"
"Konstantin Trenyov","Vovchansk Raion","Russians","USSR"
"Konstantin Trenyov","Russian Empire","Russians","USSR"
"Konstantin Trenyov","Kharkov Governorate","Russians","USSR"
"Ille Takhti","Kazan Governorate","Chuvashia","USSR"
"Ille Takhti","Chuvash Republic","Chuvashia","USSR"
"Yakub Kolas","Belarus","Belarusians","USSR"
"Sergiusz Piasecki","Russian Empire","Poland","UK"
"Sergey Mstislavsky","Russian Empire","Russians","USSR"
"Sergiusz Piasecki","Minsk Governorate","Poland","UK"
"Sergey Mstislavsky","Moscow","Russians","USSR"
"Sergiusz Piasecki","Lyakhavichy","Poland","UK"
"Yakub Kolas","Stoŭbtsy","Belarusians","USSR"
"Maximilian Consbruch","Elbląg","Kingdom of Prussia","Weimar Germany"
"Maximilian Consbruch","West Prussia","Kingdom of Prussia","Weimar Germany"
"Maximilian Consbruch","Kingdom of Prussia","Kingdom of Prussia","Weimar Germany"
"Jan Morris","Clevedon","Welsh people","Wales"
"Jan Morris","Somerset","Welsh people","Wales"
"Fyodor Stepun","Russian Empire","Russians","West Germany"
"Fyodor Stepun","Russian Empire","Lithuanian people","West Germany"
"Fyodor Stepun","Russian Empire","Germans","West Germany"
"Fyodor Stepun","Russian Empire","Swedish people","West Germany"
"Fyodor Stepun","Moscow","Germans","West Germany"
"Fyodor Stepun","Moscow","Swedish people","West Germany"
"Fyodor Stepun","Moscow","Russians","West Germany"
"Fyodor Stepun","Moscow","Lithuanian people","West Germany"
"Nikos Kazantzakis","Greece","Greeks","West Germany"
"Nikos Kazantzakis","Ottoman Crete","Greeks","West Germany"
"Nikos Kazantzakis","Ottoman Empire","Greeks","West Germany"
"Nikos Kazantzakis","Heraklion","Greeks","West Germany"
"Safvet-beg Bašagić","Bosnia Vilayet","Bosniak","Drina Banovina"
"Safvet-beg Bašagić","Ottoman Empire","Bosniak","Drina Banovina"
"Safvet-beg Bašagić","Nevesinje","Bosniak","Drina Banovina"
"Ziya Pasha","Constantinople","Ottoman Empire","Adana Vilayet"
"Ziya Pasha","Turkey","Ottoman Empire","Adana Vilayet"
"Fadl al-Sha'irah","Abbasid Caliphate","Caliphate","Abbasid Caliphate"
"Farida (singer)","Abbasid Caliphate","Caliphate","Abbasid Caliphate"
"Fadl al-Sha'irah","Al-Yamama","Caliphate","Abbasid Caliphate"
"Ziya Pasha","Ottoman Empire","Ottoman Empire","Adana Vilayet"
"Ziya Pasha","Istanbul","Ottoman Empire","Adana Vilayet"
"Gjergj Bubani","Boboshticë","Albanians","Albania"
"Gjergj Bubani","Ottoman Empire","Albanians","Albania"
"Gjergj Bubani","Kaza","Albanians","Albania"
"Al Khadra Mabrook","Tiris Zemmour Region","Sahrawi people","Algeria"
"Nur al-Din Nimatullah al-Jazayiri","Safavid Empire","Safavid Iran","Afsharid Iran"
"Nur al-Din Nimatullah al-Jazayiri","Shushtar","Safavid Iran","Afsharid Iran"
"Nur al-Din Nimatullah al-Jazayiri","Khuzestan province","Safavid Iran","Afsharid Iran"
"Petr Šabach","Prague","Czech people","Czech Republic"
"Pavol Országh Hviezdoslav","Slovakia","Slovaks","Czechoslovakia"
"Josef Hora","Austria-Hungary","Czechs","Czechoslovakia"
"Vilém Závada","Austria-Hungary","Czechs","Czechoslovakia"
"Pavol Országh Hviezdoslav","Vyšný Kubín","Slovaks","Czechoslovakia"
"Petr Šabach","Czechoslovakia","Czech people","Czech Republic"
"Vilém Závada","Ostrava","Czechs","Czechoslovakia"
"Josef Hora","Dobříň","Czechs","Czechoslovakia"
"Eliška Krásnohorská","Prague","Czechs","Czechoslovakia"
"Antal Stašek","Zlatá Olešnice (Jablonec nad Nisou District)","Czechs","Czechoslovakia"
"Eliška Krásnohorská","Austrian Empire","Czechs","Czechoslovakia"
"Antal Stašek","Kingdom of Bohemia","Czechs","Czechoslovakia"
"Daniel Chavarría","San José de Mayo","Cubans","Cuba"
"Daniel Chavarría","San José de Mayo","Uruguayans","Cuba"
"Vítězslav Nezval","Biskoupky (Brno-Country District)","Czechs","Czechoslovakia"
"Alois Jirásek","Hronov","Czechs","Czechoslovakia"
"Vítězslav Nezval","Austria-Hungary","Czechs","Czechoslovakia"
"Alois Jirásek","Austrian Empire","Czechs","Czechoslovakia"
"Alois Jirásek","Kingdom of Bohemia","Czechs","Czechoslovakia"
"Ota Pavel","Prague","Czechs","Czechoslovakia"
"Ivan Martin Jirous","Protectorate of Bohemia and Moravia","Czech Republic","Czech Republic"
"Ivan Martin Jirous","Humpolec","Czech Republic","Czech Republic"
"Ivan Olbracht","Austria-Hungary","Czechs","Czechoslovakia"
"Panos Ioannides","Cyprus","Greek Cypriots","Cyprus"
"Ota Pavel","Czechoslovakia","Czechs","Czechoslovakia"
"Panos Ioannides","Famagusta District","Greek Cypriots","Cyprus"
"Ivan Olbracht","Kingdom of Bohemia","Czechs","Czechoslovakia"
"Ivan Olbracht","Semily","Czechs","Czechoslovakia"
"Jiří Stránský","Prague","Czechs","Czech Republic"
"Karel Teige","Prague","Czechs","Czechoslovakia"
"Jiří Wolker","Prostějov","Czechs","Czechoslovakia"
"Karel Teige","Austria-Hungary","Czechs","Czechoslovakia"
"Jiří Wolker","Austria-Hungary","Czechs","Czechoslovakia"
"Jiří Stránský","Czechoslovakia","Czechs","Czech Republic"
"Konstantin Biebl","Slavětín (Louny District)","Czechs","Czechoslovakia"
"Konstantin Biebl","Austria-Hungary","Czechs","Czechoslovakia"
"Milo Urban","Austria-Hungary","Slovaks","Czechoslovakia"
"Milo Urban","Rabčice","Slovaks","Czechoslovakia"
"Ramón Meza y Suárez Inclán","Havana","Cuba","Cuba"
"Luca Assarino","Potosí","Republic of Genoa","Duchy of Savoy"
"Federico Della Valle","Province of Asti","Italy","Duchy of Milan"
"Angelo Grillo","Republic of Genoa","Italy","Duchy of Parma"
"Luca Assarino","Viceroyalty of Peru","Republic of Genoa","Duchy of Savoy"
"Angelo Grillo","Genoa","Italy","Duchy of Parma"
"Demetrios Chalkokondyles","Duchy of Athens","Greek people","Duchy of Milan"
"Simon Dach","Duchy of Prussia","Germany","Duchy of Prussia"
"Federico Della Valle","Duchy of Savoy","Italy","Duchy of Milan"
"Demetrios Chalkokondyles","Athens","Greek people","Duchy of Milan"
"Simon Dach","Klaipėda","Germany","Duchy of Prussia"
"Friedrich Schlotterbeck","Reutlingen","German people","East Germany"
"Frans Hals","Antwerp","Netherlands","Dutch Republic"
